% Model:              GRACE_shield_closedhole5_thickness_2.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 17 2021, 10:49
% Dimension:          3
% Nodes:              228
% Expressions:        2
% Description:        Magnetic Field, Magnetic Field Gradient
% Length unit:        m
% x                       y                        z                        log10(mf.Bx)                                      log10(d(laginterp(2,mf.Bx),x))
-0.12000000000000004      0                        0                        -7.784359854191626+1.3643763538418412i            -6.510743433876344+1.3643763538418412i
-0.10000000000000003      0                        0                        -6.9893993119874285+1.3643763538418412i           -5.081153114324307+1.3643763538418412i
-0.2                      0                        0                        -19.162943999677463                               -8.97650431379199
-0.18000000000000002      0                        0                        -10.464822036766474+1.3643763538418412i           -8.348269144781348+1.3643763538418412i
0.10000000000000003       0                        0                        -2.492307943700197+1.3643763538418412i            -0.26629230229535417
0.11999999999999994       0                        0                        -3.8551089213779406+1.3643763538418412i           -0.6313081434305227+1.3643763538418412i
0.18                      0                        0                        -7.928791541205709+1.3643763538418412i            -5.735907328031669
0.2                       0                        0                        -16.990241127582156+1.3643763538418412i           -6.1812734891760845+1.3643763538418412i
-0.14000000000000004      0                        0                        -8.54353289970485+1.3643763538418412i             -6.6593538258434295+1.3643763538418412i
-0.16000000000000003      0                        0                        -9.359008443250953+1.3643763538418412i            -7.634263318928673+1.3643763538418412i
0.13999999999999996       0                        0                        -5.11208221038646+1.3643763538418412i             -2.8864083713900124
0.15999999999999998       0                        0                        -6.43342196199472+1.3643763538418412i             -3.2492793816163372+1.3643763538418412i
0.03457964464898397       0                        0                        -6.469615306848353+1.3643763538418412i            -3.379962470323249+1.3643763538418412i
0.034786109202638305      0                        0                        -6.375970800159064+1.3643763538418412i            -3.413879751744845+1.3643763538418412i
0.034287247585095576      0                        0                        -6.871838545068321+1.3643763538418412i            -4.845965503580088+1.3643763538418412i
0.03429935455595082       0                        0                        -6.679102439904897+1.3643763538418412i            -4.245460067218038+1.3643763538418412i
0.03688621668703643       0                        0                        -5.863389246698328+1.3643763538418412i            -3.2272581867274197+1.3643763538418412i
0.03688745870242141       0                        0                        -5.98302497120005+1.3643763538418412i             -2.6793581126205757+1.3643763538418412i
0.03702779441099019       0                        0                        -6.023472757662918+1.3643763538418412i            -2.9051427979865863+1.3643763538418412i
0.0378125564903847        0                        0                        -5.716276700549097+1.3643763538418412i            -2.906444269394092+1.3643763538418412i
