% Model:              GRACE_stlshield_2.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jul 9 2021, 14:49
% Dimension:          3
% Nodes:              294
% Expressions:        2
% Description:        Magnetic Field, Magnetic Field Gradient
% Length unit:        m
% x                       y                        z                        log10(mf.Bx)                                      log10(d(laginterp(2,mf.Bx),x))
-0.12000000000000004      0                        0                        -7.760862733521617+1.3643763538418412i            -5.870264247188808+1.3643763538418412i
-0.10000000000000003      0                        0                        -6.844089170845784+1.3643763538418412i            -4.8797946787634805+1.3643763538418412i
-0.2                      0                        0                        -19.931243091375293                               -9.008164328899959
-0.18000000000000002      0                        0                        -10.48311031783645+1.3643763538418412i            -8.814006038524317+1.3643763538418412i
0.10000000000000003       0                        0                        -2.5967413410294014+1.3643763538418412i           -0.3715908582835539
0.11999999999999994       0                        0                        -3.9610170338644246+1.3643763538418412i           -1.7333395823985167
0.18                      0                        0                        -8.08041874096722+1.3643763538418412i             -4.724026667533341+1.3643763538418412i
0.2                       0                        0                        -17.60901156491949+1.3643763538418412i            -6.32439475682559+1.3643763538418412i
-0.14000000000000004      0                        0                        -8.539938636242569+1.3643763538418412i            -6.651149887368191+1.3643763538418412i
-0.16000000000000003      0                        0                        -9.3639662917769+1.3643763538418412i              -7.659377161187652+1.3643763538418412i
0.13999999999999996       0                        0                        -5.242457597882925+1.3643763538418412i            -3.01793908586081
0.15999999999999998       0                        0                        -6.567345012032841+1.3643763538418412i            -3.3825563767601348+1.3643763538418412i
0.08999999999999997       0                        0                        -3.3914890714666073+1.3643763538418412i           -2.736503207093146+1.3643763538418412i
-0.03836499999999998      0                        0                        -6.2209479523962345+1.3643763538418412i           -3.437667400730168+1.3643763538418412i
-0.03834890428950943      0                        0                        -6.220939101430605+1.3643763538418412i            -6.1184473355032525+1.3643763538418412i
-0.03830568614182142      0                        0                        -6.22333011274987+1.3643763538418412i             -7.240629737030182+1.3643763538418412i
-0.038111230918631084     0                        0                        -6.2233219975309035+1.3643763538418412i           -7.240629737018709+1.3643763538418412i
-0.03802916051970906      0                        0                        -6.2214944119782905+1.3643763538418412i           -5.766896161072903+1.3643763538418412i
-0.038000000000000006     0                        0                        -6.221458340845074+1.3643763538418412i            -5.7668961610729275+1.3643763538418412i
0.03799999999999998       0                        0                        -5.566057114964138+1.3643763538418412i            -5.0546618221162865
0.03803534677448636       0                        0                        -5.565785582554447+1.3643763538418412i            -4.835599738160994
0.03806340704168129       0                        0                        -5.565851060447523+1.3643763538418412i            -4.835599738160917
0.03828876651141733       0                        0                        -5.566377289151252+1.3643763538418412i            -4.835599738160142
0.03836499999999998       0                        0                        -5.565293514250191+1.3643763538418412i            -2.4549944322399537+1.3643763538418412i
0.03928949418001809       0                        0                        -5.302702353313492+1.3643763538418412i            -5.522008342245014+1.3643763538418412i
0.039657821975330826      0                        0                        -5.302577594542438+1.3643763538418412i            -5.186313698258722+1.3643763538418412i
0.03970164101709622       0                        0                        -5.302487131058097+1.3643763538418412i            -4.912253632221619+1.3643763538418412i
0.03979021101652608       0                        0                        -5.302365020057048+1.3643763538418412i            -4.7070628038530105+1.3643763538418412i
0.03900000000000001       0                        0                        -5.302778238341969+1.3643763538418412i            -5.522008342243824+1.3643763538418412i
-0.03917537736004778      0                        0                        -6.428690587667105+1.3643763538418412i            -6.790569012299772+1.3643763538418412i
-0.039000000000000035     0                        0                        -6.428655221323673+1.3643763538418412i            -7.92978349680717
-0.03923772264526221      0                        0                        -6.42870235601198+1.3643763538418412i             -6.790569012308276+1.3643763538418412i
-0.039289393483143864     0                        0                        -6.4284766637066895+1.3643763538418412i           -6.400033220706186+1.3643763538418412i
-0.03983083356712602      0                        0                        -6.428627641537491+1.3643763538418412i            -6.314006759593326+1.3643763538418412i
